#energia_keV	cuentas	canal
268.4184	763	974
268.7058	732	975
268.9932	736	976
269.2807	687	977
269.5681	793	978
269.8555	714	979
270.1429	726	980
270.4304	716	981
270.7178	695	982
271.0052	713	983
271.2927	705	984
271.5801	724	985
271.8675	750	986
272.1550	661	987
272.4424	786	988
272.7298	683	989
273.0172	699	990
273.3047	742	991
273.5921	700	992
273.8795	710	993
274.1670	709	994
274.4544	690	995
274.7418	720	996
275.0292	722	997
275.3167	653	998
275.6041	713	999
275.8915	710	1000
276.1790	699	1001
276.4664	699	1002
276.7538	697	1003
277.0413	667	1004
277.3287	701	1005
277.6161	690	1006
277.9035	696	1007
278.1910	828	1008
278.4784	902	1009
278.7658	910	1010
279.0533	868	1011
279.3407	798	1012
279.6281	685	1013
279.9156	693	1014
280.2030	657	1015
280.4904	615	1016
280.7778	724	1017
281.0653	596	1018
281.3527	653	1019
281.6401	703	1020
281.9276	652	1021
282.2150	717	1022
282.5024	664	1023
282.7899	695	1024
283.0773	729	1025
283.3647	695	1026
283.6521	687	1027
283.9396	659	1028
284.2270	681	1029
284.5144	702	1030
284.8019	684	1031
285.0893	653	1032
285.3767	661	1033
285.6641	638	1034
285.9516	698	1035
286.2390	700	1036
286.5264	624	1037
286.8139	632	1038
287.1013	697	1039
287.3887	658	1040
287.6762	658	1041
287.9636	677	1042
288.2510	639	1043
288.5384	617	1044
288.8259	629	1045
289.1133	600	1046
289.4007	645	1047
289.6882	620	1048
289.9756	585	1049
290.2630	663	1050
290.5505	642	1051
290.8379	602	1052
291.1253	655	1053
291.4127	637	1054
291.7002	647	1055
291.9876	648	1056
292.2750	633	1057
292.5625	603	1058
292.8499	599	1059
293.1373	602	1060
293.4247	639	1061
293.7122	612	1062
293.9996	607	1063
294.2870	662	1064
294.5745	628	1065
294.8619	605	1066
295.1493	555	1067
295.4368	623	1068
295.7242	559	1069
296.0116	591	1070
296.2990	582	1071
296.5865	646	1072
296.8739	615	1073
297.1613	609	1074
297.4488	651	1075
297.7362	542	1076
298.0236	609	1077
298.3111	591	1078
298.5985	626	1079
298.8859	647	1080
299.1733	647	1081
299.4608	577	1082
299.7482	561	1083
300.0356	614	1084
300.3231	622	1085
300.6105	584	1086
300.8979	616	1087
301.1854	577	1088
301.4728	625	1089
301.7602	610	1090
302.0476	598	1091
302.3351	585	1092
302.6225	589	1093
302.9099	601	1094
303.1974	614	1095
303.4848	600	1096
303.7722	573	1097
304.0596	588	1098
304.3471	596	1099
304.6345	598	1100
304.9219	567	1101
305.2094	586	1102
305.4968	594	1103
305.7842	596	1104
306.0717	555	1105
306.3591	582	1106
306.6465	552	1107
306.9339	542	1108
307.2214	583	1109
307.5088	561	1110
307.7962	605	1111
308.0837	599	1112
308.3711	567	1113
308.6585	570	1114
308.9460	570	1115
309.2334	546	1116
309.5208	574	1117
309.8082	550	1118
310.0957	597	1119
310.3831	591	1120
310.6705	542	1121
310.9580	583	1122
311.2454	588	1123
311.5328	546	1124
311.8203	603	1125
312.1077	588	1126
312.3951	549	1127
312.6825	563	1128
312.9700	590	1129
313.2574	543	1130
313.5448	498	1131
313.8323	548	1132
314.1197	561	1133
314.4071	606	1134
314.6945	581	1135
314.9820	565	1136
315.2694	556	1137
315.5568	551	1138
315.8443	576	1139
316.1317	547	1140
316.4191	560	1141
316.7066	512	1142
316.9940	577	1143
317.2814	551	1144
317.5688	544	1145
317.8563	526	1146
318.1437	530	1147
318.4311	520	1148
318.7186	529	1149
319.0060	555	1150
319.2934	576	1151
319.5809	513	1152
319.8683	529	1153
320.1557	535	1154
320.4431	514	1155
320.7306	547	1156
321.0180	512	1157
321.3054	547	1158
321.5929	496	1159
321.8803	520	1160
322.1677	546	1161
